instruction,output
"Hi, I need to ship a package to New York. It weighs about 5 kilograms. Can you tell me how much it will cost?","name: calculate_shipping_cost
arguments:
  weight: 5
  destination: New York"
"Hi, I need to translate a sentence to French. The sentence is ""Hello, how are you?""","name: translate_text
arguments:
  text: ""Hello, how are you?""
  target_language: French"
I need some images of the Eiffel Tower.,"name: search_images
arguments:
  keyword: Eiffel Tower"
I want to know about the latest sports news in the United States.,"name: get_news_articles
arguments:
  category: sports
  country: United States"
"Hey, can you get me the lyrics of the song 'Imagine' by John Lennon?","name: get_song_lyrics
arguments:
  song_title: Imagine
  artist: John Lennon"
I want to cook something with chicken. And I prefer Italian cuisine. I'm on a low-carb diet.,"name: search_recipe
arguments:
  keyword: chicken
  cuisine: Italian
  diet: low-carb"
"Hi, I need a new username. My first name is John and my last name is Doe.","name: generate_username
arguments:
  first_name: John
  last_name: Doe"
"Hi, I am planning a road trip and I want to calculate the cost of fuel. The distance is 500 kilometers, my car's fuel efficiency is 10 kilometers per liter and the price of fuel is 1.5 dollars per liter.","name: calculate_fuel_cost
arguments:
  distance: 500
  fuel_efficiency: 10
  fuel_price: 1.5"
I'm in the mood for a comedy movie. Can you suggest some?,"name: search_movies
arguments:
  query: comedy"
"Hi, I need to ship a package to New York. It weighs about 5 pounds. Can you tell me how much it will cost?","name: calculate_shipping_cost
arguments:
  weight: 5
  destination: New York"
The total bill is $85 and I want to tip 15%.,"name: calculate_tip
arguments:
  bill_amount: 85
  tip_percentage: 15"
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  company_symbol: AAPL"
"Sure, I want to fly from New York to London on the 15th of next month.","name: book_flight
arguments:
  origin: New York
  destination: London
  date: 15th of next month"
"Hi, I need help calculating the tip for my bill. The total amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"Hi, can you get me the latest news in sports?","name: get_news
arguments:
  category: sports"
"Hi, can you help me calculate the factorial of 5?


 Of course, I can help with that. Let me do the calculations for you. <|endoftext|>","name: calculate_factorial
arguments:
  number: 5"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hmm, let's go with a science joke.","name: get_random_joke
arguments:
  category: science"
"My name is John Doe, my email is johndoe@example.com and I want my password to be 'password123'.","name: create_user
arguments:
  name: John Doe
  email: johndoe@example.com
  password: password123"
"The content should be ""Discuss Q1 sales performance, Plan for Q2, Review marketing strategies"".","name: create_note
arguments:
  title: Team Meeting Agenda
  content: ""Discuss Q1 sales performance, Plan for Q2, Review marketing strategies"""
"The recipient is boss@example.com, the subject is ""Monthly Report"", and the message is ""Please find attached the monthly report for your review.""","name: send_email
arguments:
  recipient: boss@example.com
  subject: Monthly Report
  message: Please find attached the monthly report for your review."
"Hi, I need to calculate my BMI. My weight is 70 kg and my height is 1.75 m.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Sure, my website URL is www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"My name is John Doe, I am 25 years old and I am a male.","name: create_user_profile
arguments:
  name: John Doe
  age: 25
  gender: male"
I like rock music and I'm feeling quite energetic.,"name: get_music_recommendations
arguments:
  genre: rock
  mood: energetic"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need to convert 500 USD to EUR. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Here are the reviews: ""Great product"", ""Not worth the price"", ""Amazing quality"", ""Terrible customer service"", ""Would buy again"".","name: analyze_product_reviews
arguments:
  reviews[5]: Great product,Not worth the price,Amazing quality,Terrible customer service,Would buy again"
"Hi, I need to calculate my gross salary. My base salary is $5000 and my allowances are $2000.","name: calculate_gross_salary
arguments:
  base_salary: 5000
  allowances: 2000"
"Hey, can you tell me a random fact about science?


 Sure, let me find a fact for you. <|endoftext|>","name: get_random_fact
arguments:
  category: science"
"Hi, I would like to calculate my BMI. My height is 170 cm and my weight is 65 kg.","name: calculate_bmi
arguments:
  height: 170
  weight: 65"
"Hi, I'm looking for a movie but I can't remember the full title. I know it was a comedy released in 2005.","name: search_movie
arguments:
  year: 2005
  genre: comedy"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"I need a new password. Can you generate one for me? I want it to be 12 characters long and include uppercase letters, lowercase letters, numbers, and special characters.","name: generate_password
arguments:
  length: 12
  include_uppercase: true
  include_lowercase: true
  include_numbers: true
  include_special_characters: true"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Hi, I need to calculate my BMI. I weigh 70kg and my height is 1.75m.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I need help with calculating a tip. My bill total is $85 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_total: 85
  tip_percentage: 15"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
"Hi, I need to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
I have some chicken and broccoli. Can you find me a recipe?,"name: search_recipes
arguments:
  ingredients[2]: chicken,broccoli"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  author: George Orwell"
"Hi, I need help with calculating the tip for my bill. The total bill amount is $100 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 100
  tip_percentage: 15"
I'm in the mood for Italian food. Can you find any Italian restaurants in New York?,"name: search_restaurants
arguments:
  cuisine: Italian
  location: New York"
"Hi, can you get me the latest sports news from the United States?","name: get_news_headlines
arguments:
  category: sports
  country: United States"
"Hi, I have a list of numbers and I need to find the average. The numbers are 5, 10, 15, 20, 25.","name: calculate_average
arguments:
  numbers[5]: 5,10,15,20,25"
"Hi, I need to calculate my tax. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
"Hi, I need to calculate my BMI. I weigh 75 kilograms and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
"Hi, I need to calculate the area of a rectangle. The length is 10 units and the breadth is 5 units.","name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 10
    breadth: 5"
I am looking for a book but I can't remember the title. I know it's a mystery novel by Agatha Christie.,"name: search_books
arguments:
  author: Agatha Christie
  genre: mystery"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I need to know the distance between New York and Los Angeles.


 Sure, I can help with that. Let me calculate the distance for you. <|endoftext|>","name: calculate_distance
arguments:
  point1:
    latitude: 40.7128
    longitude: -74.006
  point2:
    latitude: 34.0522
    longitude: -118.2437"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I have some leftover chicken and broccoli. Can you help me find a recipe?


 Of course, I can help with that. Let me find some recipes for you. <|endoftext|>","name: search_recipes
arguments:
  ingredients[2]: chicken,broccoli"
"Sure, the principal amount is $50000, the annual interest rate is 5% and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  principal: 50000
  interest_rate: 5
  loan_term: 60"
"Hi, I saw a dress that I liked in a store. It was originally priced at $200 but it's on a 20% discount. Can you tell me how much it will cost after the discount?","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hey, can you help me calculate my BMI? I am 1.75 meters tall and weigh 70 kilograms.


 Sure, I can help with that. Let's calculate your BMI. <|endoftext|>","name: calculate_bmi
arguments:
  height: 1.75
  weight: 70"
I am looking for a full-time job in the field of data science in New York.,"name: search_jobs
arguments:
  location: New York
  keywords[1]: data science
  job_type: full-time"
Can you get me the latest news headlines for the United States?,"name: get_news_headlines
arguments:
  country: United States"
I'm looking for a comedy movie from 2015.,"name: search_movies
arguments:
  genre: comedy
  year: 2015"
"Hi, I need help with calculating a tip. My bill is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I want to know how much I will save if I buy a jacket that costs $200 with a 20% discount.


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"I have some chicken, broccoli, and cheese. What can I make with these?","name: search_recipes
arguments:
  ingredients[3]: chicken,broccoli,cheese"
"Hi, can you get me the latest sports news?","name: get_news_headlines
arguments:
  category: sports"
"The principal amount is $5000, the annual interest rate is 5% and the investment period is 3 years.","name: calculate_interest
arguments:
  principal_amount: 5000
  interest_rate: 0.05
  investment_period: 3"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
"Hey, I bought a dress for $100 and the store is offering a 20% discount. Can you help me calculate how much I will save?


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"Sure, the principal amount is $50000, the annual interest rate is 5%, and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  principal: 50000
  interest_rate: 5
  loan_term: 60"
"Hi, I need help with calculating my tax. My annual income is $75,000 and the tax rate is 25%.","name: calculate_tax
arguments:
  income: 75000
  tax_rate: 25"
"The title is ""Finish Project"", description is ""Complete the final report and presentation"", and the due date is ""2022-05-15"".","name: create_todo
arguments:
  title: Finish Project
  description: Complete the final report and presentation
  due_date: 2022-05-15"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Can you analyze the sentiment of this text for me? ""I am feeling really happy today because I got a promotion at work.""","name: analyze_sentiment
arguments:
  text: I am feeling really happy today because I got a promotion at work."
"My name is John Doe, my email is johndoe@example.com, and I want my password to be ""password123"".","name: create_user
arguments:
  name: John Doe
  email: johndoe@example.com
  password: password123"
"Hi, I need to calculate my tax for this year. My income was $50,000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
I need to create an invoice for a customer named John Doe. He bought 2 apples for $1 each and 3 bananas for $0.5 each.,"name: create_invoice
arguments:
  customer_name: John Doe
  items[2]{name,quantity,price}:
    apple,2,1
    banana,3,0.5"
"Sure, the URL is www.example.com.","name: check_url_status
arguments:
  url: www.example.com"
"Hi, can you tell me what is the temperature in Celsius if it's 90 degrees Fahrenheit?


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_fahrenheit_to_celsius
arguments:
  fahrenheit: 90"
"Hey, can you generate a random number between 1 and 100 for me?


 Sure, I can do that. Let me generate it for you. <|endoftext|>","name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I need to calculate the area of a rectangle. The width is 5 units and the height is 7 units.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_rectangle_area
arguments:
  width: 5
  height: 7"
"Hi, I need help with calculating the tip for my bill. The total amount is $50 and I want to give a 20% tip.","name: calculate_tip
arguments:
  bill_total: 50
  tip_percentage: 20"
I need to generate an invoice for a customer named John Doe. The total order amount is $200. The items are 2 books at $50 each and 4 pens at $25 each.,"name: generate_invoice
arguments:
  customer_name: John Doe
  order_total: 200
  items[2]{name,quantity,price}:
    book,2,50
    pen,4,25"
"Hi, I have a sentence in French that I need translated to English. The sentence is ""Je suis très heureux de vous rencontrer"".","name: translate_text
arguments:
  text: Je suis très heureux de vous rencontrer
  source_language: fr
  target_language: en"
"Hi, I need to find the square root of 144. Can you help me with that?","name: calculate_square_root
arguments:
  number: 144"
"Hi, I would like to calculate my BMI. I weigh 75 kg and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
The meeting is next Friday.,"name: create_todo
arguments:
  task: Prepare a presentation for the next team meeting
  due_date: Next Friday"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"I need to run a program named ""DataAnalysis"" with arguments ""file1.csv"" and ""file2.csv"".","name: execute_program
arguments:
  program_name: DataAnalysis
  arguments[2]: file1.csv,file2.csv"
"I need one laptop and please ship it to 123 Main Street, New York.","name: buy_product
arguments:
  product_name: laptop
  quantity: 1
  shipping_address: ""123 Main Street, New York"""
"Hi, can you tell me the latest news headlines for the United States?


 Sure, let me fetch that information for you. <|endoftext|>","name: get_news_headlines
arguments:
  country: United States"
"Hi, I saw a dress that I liked in a store. It was originally priced at $100 but there's a 20% discount on it. Can you tell me how much it would cost after the discount?","name: calculate_discounted_price
arguments:
  original_price: 100
  discount: 20"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Hi, I have a sentence in French that I need translated to English. The sentence is ""Je suis très heureux de vous rencontrer"".","name: translate_text
arguments:
  text: Je suis très heureux de vous rencontrer
  source_language: fr
  target_language: en"
"Hey, can you tell me about the movie ""Inception""?


 Sure, let me fetch the details for you. <|endoftext|>","name: get_movie_details
arguments:
  title: Inception"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Sure, the principal amount is $200,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_loan_payment
arguments:
  principal: 200000
  interest_rate: 3.5
  loan_term: 30"
"Hi, I want to calculate my BMI. I weigh 75 kg and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
I would like it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
"Hi, I need help with calculating a tip. My bill is $50 and I want to leave a 20% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
"Sure, here is the URL: www.example.com/image.jpg. I would like the thumbnail to be medium-sized.","name: generate_thumbnail
arguments:
  image_url: www.example.com/image.jpg
  thumbnail_size: medium"
"Sure, the loan amount is $200,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_loan_interest
arguments:
  loan_amount: 200000
  interest_rate: 0.035
  loan_term: 30"
"Hi, I saw a dress that I liked in a store. It was originally priced at $100 but it's on a 20% discount. Can you help me calculate how much I'll have to pay if the tax rate is 5%?","name: calculate_discounted_price
arguments:
  original_price: 100
  discount_percentage: 20
  tax_rate: 5"
"The list name should be ""Weekend Chores"". The tasks are ""Clean the house"", ""Do the laundry"", ""Buy groceries"", and ""Cook dinner"".","name: create_todo_list
arguments:
  list_name: Weekend Chores
  tasks[4]: Clean the house,Do the laundry,Buy groceries,Cook dinner"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  symbol: AAPL"
"Hi, I need a random string of 10 characters. Can you generate it for me?","name: generate_random_string
arguments:
  length: 10"
"Hi, I need a new password for my email account. Can you generate a 10-character password for me?


 Sure, I can help with that. Let me generate a password for you. <|endoftext|>","name: generate_password
arguments:
  length: 10"
"Hi, I need to calculate my tax. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
Can you calculate the Fibonacci sequence up to 10 for me?,"name: calculate_fibonacci_sequence
arguments:
  limit: 10"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Can you tell me more about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"Can you tell me about the movie ""Inception""?","name: get_movie_details
arguments:
  movie_title: Inception"
"Hi, I'm looking for a job in New York City. I'm interested in software development roles and my expected salary is around $80,000.


 Sure, I can help you with that. Let me find the job openings for you. <|endoftext|>","name: search_jobs
arguments:
  location: New York City
  keywords[1]: software development
  salary: 80000"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need a barcode for my product. The product id is 12345 and I want it in UPC format.","name: generate_barcode
arguments:
  product_id: ""12345""
  format: UPC"
"Hi, I need help with calculating my tax. My income is $50,000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
I am looking for a science fiction book published in 1984.,"name: search_book
arguments:
  keyword: """"
  genre: science fiction
  year: 1984"
"The recipient's email is boss@company.com. The subject is ""Monthly Report"" and the message is ""Please find attached the monthly report for your review.""","name: send_email
arguments:
  recipient: boss@company.com
  subject: Monthly Report
  message: Please find attached the monthly report for your review."
"Hey, can you tell me the current price of Apple's stock?


 Sure, let me fetch that information for you. <|endoftext|>","name: get_stock_price
arguments:
  symbol: AAPL"
I saw a dress that I liked. It was originally priced at $200 but it's on a 20% discount. How much will it cost now?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
I need to calculate the area of a rectangle. The length is 5 units and the width is 3 units.,"name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 5
    width: 3"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need to calculate my BMI. My height is 1.75 meters and I weigh 70 kilograms.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_bmi
arguments:
  height: 1.75
  weight: 70"
I want to listen to some music. Can you play some rock music for me?,"name: play_music
arguments:
  genre: rock"
"Hi, I would like to calculate my BMI. I weigh 75 kilograms and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
Can you get me the latest news headlines in technology?,"name: get_news_headlines
arguments:
  category: technology"
"Hi, I saw a dress that I liked in a store. It was priced at $200 but they are offering a 20% discount. Can you tell me how much I will have to pay after the discount?","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  company: Apple"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"The movie is ""Inception"" and it was released in 2010.","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
"Sure, my website URL is www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need to calculate my tax for this year. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  start_location: New York
  end_location: Los Angeles"
"Hi, I need to calculate 20% of 500. Can you help me with that?","name: calculate_percentage
arguments:
  number: 500
  percentage: 20"
"Can you tell me about the movie with the ID ""tt0111161""?","name: get_movie_details
arguments:
  movie_id: tt0111161"
I need to calculate the area of a square. The side length is 5 units.,"name: calculate_area
arguments:
  shape: square
  dimensions:
    side: 5"
"Yes, the description is ""Buy milk, eggs, and bread from the supermarket"".","name: create_todo
arguments:
  title: Buy groceries
  description: ""Buy milk, eggs, and bread from the supermarket"""
"I am looking for a book but I can't remember the full title. It's something like ""To Kill a...""","name: search_book
arguments:
  query: To Kill a"
"I am looking for a book but I can't remember the full title. It has the word ""Sun"" in it and it's by an author whose name starts with ""H"".","name: search_books
arguments:
  query: Sun
  author: H"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
Can you tell me the current stock price of Apple?,"name: get_stock_price
arguments:
  symbol: AAPL"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Sure, the URL is www.mywebsite.com and I would like the QR code to be 500 pixels.","name: generate_qr_code
arguments:
  data: www.mywebsite.com
  size: 500"
I would give it a 9. It was really good.,"name: rate_movie
arguments:
  title: Inception
  rating: 9"
"Hi, I am looking for some music events in New York. Can you help me find some?


 Of course, I can help with that. Let me find the information for you. <|endoftext|>","name: search_events
arguments:
  category: music
  location: New York"
"I have some chicken, bell peppers, onions, and tomatoes. What can I cook with these?","name: get_recipe
arguments:
  ingredients[4]: chicken,bell peppers,onions,tomatoes"
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  data: www.mywebsite.com"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  from_currency: USD
  to_currency: EUR
  amount: 500"
Can you get me the latest sports news from the US?,"name: get_news
arguments:
  category: sports
  country: US"
"I have some chicken, tomatoes and garlic. Can you find me a recipe?","name: search_recipe
arguments:
  ingredients[3]: chicken,tomatoes,garlic"
"Can you tell me about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"I need to schedule a meeting titled ""Project Discussion"" on 2022-03-15 at 10:00.","name: schedule_meeting
arguments:
  title: Project Discussion
  date: 2022-03-15
  time: ""10:00"""
"Hi, I need help with calculating the tip for my restaurant bill. The total amount is $150 and I want to leave a 20% tip.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 150
  tip_percentage: 20"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need the stock quotes for Microsoft for the date 2021-09-15.","name: get_quotes
arguments:
  company: Microsoft
  date: 2021-09-15"
"The recipient's email is boss@company.com. The subject is ""Monthly Report"" and the message is ""Dear Boss, Please find attached the monthly report for your review. Best, [User]"".","name: send_email
arguments:
  recipient: boss@company.com
  subject: Monthly Report
  message: ""Dear Boss, Please find attached the monthly report for your review. Best, [User]"""
"Hi, I need to know the distance between New York and Los Angeles.


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
I would like it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
What's the current time in New York?,"name: get_current_time
arguments:
  timezone: New York"
"Hi, I need help calculating the tip for my bill. The total amount is $50 and I want to leave a 20% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
"I would like it to be 12 characters long and yes, please include symbols.","name: generate_password
arguments:
  length: 12
  include_symbols: true"
"Sure, the principal amount is $200,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_loan_payment
arguments:
  principal: 200000
  interest_rate: 3.5
  loan_term: 30"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com
  size: 500"
"Can you tell me more about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"Hi, I need to translate a sentence from English to Spanish. The sentence is ""Hello, how are you?""","name: translate_text
arguments:
  text: ""Hello, how are you?""
  source_language: English
  target_language: Spanish"
"The title is ""Project Discussion"", the time is 10:00 AM, and the location is ""Conference Room 1"".","name: create_calendar_event
arguments:
  title: Project Discussion
  date: tomorrow
  time: ""10:00 AM""
  location: Conference Room 1"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
I saw a dress that I liked. It was originally priced at $200 but there's a 20% discount. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Can you analyze the sentiment of this text for me? ""I am feeling really happy today because I got a promotion at work.""","name: analyze_sentiment
arguments:
  text: I am feeling really happy today because I got a promotion at work."
"Hi, I need a barcode for the text ""Hello World"".","name: generate_barcode
arguments:
  text: Hello World"
"Hi, I need to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  author: George Orwell"
"Hi, I am looking for a book but I can't remember the author's name. The title is ""To Kill a Mockingbird"".","name: search_book
arguments:
  title: To Kill a Mockingbird"
"Hi, I need help with calculating the tip for my bill. The total amount is $50 and I want to leave a 20% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  input: www.mywebsite.com"
"Hi, I would like to know the current stock price of Apple.","name: get_stock_price
arguments:
  company_name: Apple"
"Can you tell me about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"Hi, I need a random number between 1 and 100.","name: generate_random_number
arguments:
  min: 1
  max: 100"
"Hi, I need to convert 500 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  source_currency: USD
  target_currency: EUR"
I like action movies. How about something from 2010?,"name: get_movie_recommendation
arguments:
  genre: action
  year: 2010"
I am looking for a comedy movie from 2015.,"name: search_movies
arguments:
  genre: comedy
  year: 2015"
"Hi, I need help with calculating the tip for my bill. The total amount is $50 and I want to leave a 20% tip.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
The numbers are 36 and 48.,"name: calculate_gcd
arguments:
  number1: 36
  number2: 48"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min_value: 1
  max_value: 100"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Can you tell me about the movie ""Inception"" released in 2010?","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
"Hi, can you tell me the current price of Apple's stock?","name: get_stock_price
arguments:
  stock_symbol: AAPL"
Here is the URL: www.example.com/image.jpg. I want to analyze the objects and colors in the image.,"name: analyze_image
arguments:
  image_url: www.example.com/image.jpg
  features[2]: objects,colors"
I saw a dress that I liked. It was originally priced at $200 but it's on sale for 20% off. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"I have some chicken, tomatoes and onions. Can you find me a recipe?","name: search_recipes
arguments:
  ingredients[3]: chicken,tomatoes,onions"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birth_date: 1990-05-15"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
I saw a jacket I liked in a store. It was originally priced at $200 but there's a 20% discount on it. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"I am looking for a book but I can't remember the full title. It had the word ""moon"" in it and it's a mystery novel.","name: search_books
arguments:
  title: moon
  genre: mystery"
"Hi, I need help with calculating a tip. My bill is $50 and I want to leave a 20% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
"The title is ""Buy groceries"", the due date is ""2022-04-30"", and the priority is ""High"".","name: create_todo
arguments:
  title: Buy groceries
  due_date: 2022-04-30
  priority: High"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hey, can you tell me the latest sports news?","name: get_news_headlines
arguments:
  category: sports"
